global_steps,episode,winrate,avg_return
500,417,0.3554,-0.1323
1000,839,0.3682,-0.0982
1000,833,0.353,-0.1307
2000,1677,0.3798,-0.0843
3000,2543,0.3904,-0.0594
1000,833,0.353,-0.1307
2000,1677,0.3798,-0.0843
3000,2543,0.3904,-0.0594
1000,833,0.353,-0.1307
2000,1677,0.3798,-0.0843
3000,2543,0.3904,-0.0594
5000,4224,0.3834,-0.0648
5000,4224,0.3834,-0.0648
10000,8435,0.3832,-0.0733
15000,12617,0.352,-0.1191
20000,16774,0.334,-0.1569
25000,20977,0.3456,-0.1362
30000,25240,0.331,-0.1579
35000,29493,0.3228,-0.181
40000,33680,0.3224,-0.1867
45000,37891,0.2992,-0.2414
50000,42083,0.3098,-0.227
55000,46225,0.276,-0.3106
60000,50469,0.2674,-0.3189
65000,54621,0.2388,-0.3827
70000,58780,0.2314,-0.4059
75000,62928,0.203,-0.4754
80000,66940,0.2034,-0.4694
85000,71122,0.1916,-0.4859
90000,75219,0.1964,-0.4857
95000,79339,0.1758,-0.5261
100000,83460,0.193,-0.4876
105000,87541,0.1526,-0.5834
110000,91672,0.1668,-0.547
115000,95832,0.1348,-0.6204
120000,99855,0.1466,-0.5878
130000,103203,0.138,-0.6233
150000,24499,0.1304,-0.6273
160000,32690,0.1336,-0.6207
170000,40866,0.1248,-0.6402
180000,48987,0.1278,-0.6349
190000,57114,0.1256,-0.6423
200000,65103,0.1278,-0.633
210000,73188,0.1302,-0.6314
220000,81208,0.1268,-0.638
230000,89160,0.134,-0.6273
240000,97120,0.1336,-0.63
250000,105049,0.1288,-0.6281
260000,113024,0.125,-0.6405
270000,120857,0.1268,-0.6359
280000,128817,0.1324,-0.6253
290000,136732,0.1202,-0.6438
300000,144665,0.1276,-0.6344
310000,152392,0.1266,-0.6467
320000,160196,0.133,-0.6255
330000,167993,0.132,-0.6257
340000,175682,0.1358,-0.6139
350000,183563,0.1302,-0.6278
360000,191348,0.1358,-0.6165
370000,199029,0.131,-0.6274
380000,7647,0.1334,-0.6324
390000,15255,0.1302,-0.6409
400000,22878,0.1356,-0.621
410000,30453,0.138,-0.6175
420000,38039,0.1218,-0.6437
430000,45506,0.1306,-0.6252
440000,53015,0.1546,-0.582
450000,60362,0.14,-0.6133
460000,67897,0.13,-0.6329
470000,75331,0.1388,-0.6221
480000,82674,0.1412,-0.6151
490000,90119,0.1322,-0.6267
500000,97556,0.1436,-0.6042
510000,104953,0.1416,-0.6148
520000,112300,0.14,-0.6187
530000,119661,0.1536,-0.5848
540000,127017,0.1464,-0.5964
550000,134360,0.1476,-0.5983
560000,141553,0.155,-0.5886
570000,148859,0.1574,-0.5816
580000,156099,0.1472,-0.5946
590000,163263,0.1574,-0.573
600000,170403,0.1624,-0.5646
610000,177591,0.1576,-0.5862
620000,184774,0.1734,-0.5502
630000,191886,0.1898,-0.5113
640000,198974,0.1638,-0.5803
650000,7066,0.1846,-0.5287
660000,14165,0.164,-0.5771
670000,21286,0.182,-0.5308
680000,28405,0.1616,-0.5794
690000,35405,0.1824,-0.5213
700000,42371,0.1782,-0.5333
710000,49368,0.195,-0.4984
720000,56242,0.181,-0.5237
730000,63133,0.18,-0.5215
740000,70053,0.1848,-0.5199
750000,76914,0.1604,-0.568
760000,83864,0.1788,-0.5243
